SICcode        Catcode        Category        SICname        MultSIC
8011        H1100        Physicians        Offices & clinics of medical doctors        
8021        H1400        Dentists        Offices and clinics of dentists        
8031        H1130        Other physician specialists        Offices of osteopathic physicians        X
8041        H1500        Chiropractors        Offices and clinics of chiropractors        
8042        H1120        Optometrists & Ophthalmologists        Offices and clinics of optometrists        
8043        H1130        Other physician specialists        Offices and clinics of podiatrists        X
8049        H1700        Other non-physician health practitioners        Offices of health practitioners, NEC        
8051        H2200        Nursing homes        Skilled nursing care facilities        X
8052        H2200        Nursing homes        Intermediate care facilities        X
8059        H3000        Health care services        Nursing and personal care, NEC        
8062        H2100        Hospitals        Hospitals, general medical & surgical        X
8063        H2100        Hospitals        Psychiatric hospitals        X
8069        H2100        Hospitals        Specialty hospitals, exc psychiatric        X
8071        H3400        Medical laboratories        Medical laboratories        X
8072        H3400        Medical laboratories        Dental laboratories        X
8082        H3100        Home care services        Home health care services        
8092        H3200        Outpatient health services (incl drug & alcohol)        Kidney dialysis centers        X
8093        H3200        Outpatient health services (incl drug & alcohol)        Specialty outpatient facilities, NEC        X
8099        H0000        Health, Education & Human Resources        Health and allied services, NEC        
8111        K1000        Attorneys & law firms        Legal services        
8211        H5100        Schools & colleges        Elementary and secondary schools        X
8221        H5100        Schools & colleges        Colleges and universities, NEC        X
8222        H5100        Schools & colleges        Junior colleges        X
8231        X4200        Museums, art galleries, libraries, etc.        Libraries        X
8243        H5200        Technical, business and vocational schools & svcs        Data processing schools        X
8244        H5200        Technical, business and vocational schools & svcs        Business and secretarial schools        X
8249        H5200        Technical, business and vocational schools & svcs        Vocational schools, NEC        X
8299        H5000        Education        Schools & educational services, NEC        
8322        H6000        Welfare & Social Work        Individual and family social services        X
8331        H6000        Welfare & Social Work        Job training and related services        X
8351        G5000        Services        Child day care services        X
8361        H2200        Nursing Homes        Residential care        X
8399        H6000        Welfare & Social Work        Social services, NEC        X
8412        X4200        Museums, art galleries, libraries, etc.        Museums and art galleries        X
8422        X4200        Museums, art galleries, libraries, etc.        Botanical and zoological gardens        X
8611        G1000        General business associations        Business associations        
8621        N/A                Professional organizations        X
8631        L0000        Labor Unions, Unclassified        Labor organizations        
8641        N/A                Civic and social associations        X
8651        N/A                Political organizations        X
8661        X0000        Other        Religious organizations        
8699        N/A                Membership organizations, NEC        X
8711        B4400        Engineers, Type Unknown        Engineering services        
8712        B4200        Architectural services        Architectural services        
8713        B4300        Surveying        Survey services        
8721        F5100        Accountants        Accounting, auditing, & bookkeeping        
8731        G5200        Business services        Commercial physical research        X
8732        G5200        Business services        Commercial nonphysical research        X
8733        X4000        Non-Profits        Noncommercial research organizations        X
8734        G5200        Business services        Testing laboratories        X
8741        G5270        Management consultants & services        Management services        X
8742        G5270        Management consultants & services        Management consulting services        X
8743        G5210        Advertising & public relations services        Public relations services        X
8744        N/A                Facilities support management services        X
8748        G5200        Business services        Business consulting services, NEC        X
8811        G5000        Services        Private households        X
8999        N/A                Services, NEC        X
9111        X3000        Civil servant/public employee        Executive offices        X
9121        X3000        Civil servant/public employee        Legislative bodies        X
9131        X3000        Civil servant/public employee        Executive and legislative combined        X
9199        X3000        Civil servant/public employee        General government, NEC        X
9211        X3200        Courts & Justice System        Courts        X
9221        L1400        Police & firefighters unions & associations        Police protection        X
9222        X3200        Courts & Justice System        Legal counsel and prosecution        X
9223        X3200        Courts & Justice System        Correctional institutions        X
9224        L1400        Police & firefighters unions & associations        Fire protection        X
9229        X3000        Civil servant/public employee        Public order and safety, NEC        X
9311        X3000        Civil servant/public employee        Finance, taxation, and monetary policy        X
9411        X3000        Civil servant/public employee        Administration of educational programs        X
9431        X3000        Civil servant/public employee        Administration of public health programs        X
9441        X3000        Civil servant/public employee        Admin of social and manpower programs        X
9451        X3000        Civil servant/public employee        Administration of veterans' affairs        X
9511        X3000        Civil servant/public employee        Air and water and solid waste mgmt        X
9512        X3000        Civil servant/public employee        Land, mineral, wildlife conservation        X
9531        X3000        Civil servant/public employee        Administration of housing programs        X
9532        X3000        Civil servant/public employee        Urban and community development        X
9611        X3000        Civil servant/public employee        Admin of general economic programs        X
9621        X3000        Civil servant/public employee        Regulation, admin of transportation        X
9631        X3000        Civil servant/public employee        Regulation, admin of utilities        X
9641        X3000        Civil servant/public employee        Regulation of agricultural marketing        X
9651        X3000        Civil servant/public employee        Regulation misc commercial sectors        X
9661        X3000        Civil servant/public employee        Space research and technology        X
9711        X5000        Military        National Security        
9721        X3000        Civil servant/public employee        International affairs        X
9999        N/A                Nonclassifiable establishments        X
